object SCIN CADM2 COX2 RELL1 LOC100287015 TREML3P 1558154_at KLHL8 LOC101927592 MIR646HG||LOC729296 NCKAP5L LOC101927657 1565265_at OR4D1 MAP7 NPR2 MEOX1 TCP11L1 KDM6B 215137_at IGLV@ ZSCAN18 CASQ1 220932_at GJA9||MYCBP||GJA9-MYCBP TAS2R16 NFIA LOC283075 234368_at 234817_at LOC101927330 237147_at PPOX 239402_at 241170_at C3orf62||MIR4271 SYNE1 ZNF788 decision
GSM627119.CEL 3.1777 2.6093 13.5483 4.2873 3.9666 5.0084 5.2798 2.6404 3.4559 3.0033 3.8445 3.0189 3.8875 4.0824 5.9624 5.87 4.2426 5.1827 7.7019 5.8968 2.9583 5.1186 3.3074 3.8847 4.3338 3.4592 4.9298 2.958 2.6567 3.0525 4.3044 2.9401 4.4689 3.3182 2.7819 7.1272 3.616 4.3747 control
GSM627116.CEL 2.8337 2.3708 13.3896 4.3007 4.478 4.5302 4.7775 3.2858 3.5341 3.3326 4.1438 3.1939 3.4632 4.0595 5.8197 5.6848 4.4771 4.862 8.4149 5.9073 2.9976 5.0737 4.0601 3.8042 4.3472 3.3142 5.1964 3.0448 2.6046 3.0488 4.3159 3.0229 4.2228 2.9558 2.6455 7.6497 3.9209 4.3629 control
GSM627084.CEL 3.0771 2.7272 13.3611 4.4688 4.0639 4.3889 5.2092 2.7544 3.5685 3.1718 3.9424 3.0932 3.4475 4.8023 5.9169 5.8754 4.414 4.4864 7.7337 5.9247 2.8022 4.3551 3.3437 4.3928 4.5784 3.3497 5.425 3.0226 2.5784 3.1009 4.4402 2.8819 4.2798 3.3565 2.7827 7.3313 3.7704 4.5937 control
GSM627096.CEL 2.6448 2.5283 13.5612 4.1037 3.9298 4.3526 5.2405 3.0849 3.2435 3.2309 3.6505 3.1432 3.682 4.2224 6.571 6.1533 3.9732 4.5735 7.6157 5.6509 2.8128 4.6354 3.2705 3.9343 4.2041 3.2422 5.5945 3.2626 2.7463 3.0369 4.0101 3.1275 4.0628 3.2301 2.5513 7.4883 3.5615 4.1776 control
GSM627100.CEL 2.9414 2.4592 13.5188 4.0843 4.1511 4.6406 4.8081 3.4256 3.3642 2.7378 4.0115 2.9618 3.3368 4.1343 6.1227 5.9612 4.3321 5.3621 7.1485 5.7009 3.7227 5.1445 3.1512 3.841 4.3386 3.3859 5.1745 3.4706 2.5385 3.1388 4.2638 3.019 4.4697 3.3994 2.5248 7.4955 3.9623 4.4689 control
GSM627112.CEL 3.0308 2.61 13.6545 4.4003 4.5043 4.9062 5.7757 3.18 3.8881 3.6265 4.235 3.0288 3.865 4.571 4.4535 5.8115 3.9621 4.6664 7.934 6.6036 2.9302 6.0518 3.5164 3.6924 4.2603 3.47 4.9187 3.0139 2.5582 3.1968 4.2099 2.8728 4.6307 3.6017 2.6932 7.262 4.1683 4.3282 control
GSM627083.CEL 2.9607 3.0138 13.4498 4.3859 4.8246 4.0931 4.797 3.3005 3.2248 3.2446 3.7356 3.1754 3.5047 4.0331 5.5659 6.3556 4.3745 4.9542 6.9712 5.9367 3.3216 4.4497 3.5163 3.6705 4.2851 3.3766 5.4019 2.8726 2.6738 3.2308 4.0999 2.9482 4.1657 3.2945 3.0903 7.1394 4.1047 4.506 control
GSM627098.CEL 3.1198 2.2809 13.3425 4.0354 4.066 4.3174 5.2256 2.9234 3.4368 3.4587 4.0359 3.2328 3.3616 4.4323 5.7288 6.1161 4.167 5.348 7.5061 5.4961 3.3523 4.6609 3.5923 4.0711 4.1183 3.5099 5.5888 2.8452 2.6201 3.1589 4.1079 3.2258 4.7482 3.112 2.9851 7.1594 3.9997 4.4854 control
GSM627104.CEL 3.2631 2.4947 13.5532 4.3092 3.888 4.7333 4.9218 2.5702 3.4478 3.6742 3.7635 3.4167 3.8259 4.5629 5.0038 6.1797 4.7475 5.3995 7.2971 5.9246 3.1035 5.0534 3.3674 4.701 4.5168 3.2217 5.0198 3.242 2.5703 3.3977 4.4032 3.0412 4.8347 3.3674 3.5545 6.418 4.1599 4.3957 control
GSM627131.CEL 3.0673 2.8333 13.3417 4.1418 4.2661 4.6549 5.2935 3.0663 3.2828 3.1619 3.7431 3.3861 3.8177 4.5214 6.4179 6.4041 3.8439 5.1964 8.1868 5.637 2.4076 5.3229 3.8961 3.5202 4.2102 3.1555 4.9926 3.3853 2.6022 2.9777 4.2282 2.95 4.0472 3.2302 2.7452 7.9223 3.6064 4.3869 control
GSM627106.CEL 2.6045 2.5519 13.5884 4.1 4.4283 4.8337 5.1989 2.9473 3.2918 3.0809 3.7133 3.1387 3.4197 4.3624 5.8505 5.9456 4.3057 4.6774 7.4439 5.684 3.0371 5.4933 3.331 3.5228 4.2751 3.5202 5.0051 3.1364 2.5595 3.05 4.3525 2.9189 4.2445 3.4904 2.4923 7.3202 3.7671 4.3643 control
GSM627123.CEL 3.1839 2.6249 13.3585 4.6986 4.2837 4.9594 5.5674 2.8767 3.1281 3.5124 3.8177 3.3426 3.8424 4.6484 5.7277 5.8611 4.2282 4.8635 7.5277 5.814 3.0321 4.6228 3.1575 3.6718 4.7295 3.1773 5.149 3.0187 2.6412 3.1768 4.5511 2.9259 4.5511 3.1374 2.7544 7.8352 4.2242 4.5141 control
GSM627129.CEL 2.6629 2.4601 13.5713 4.1841 3.956 4.2394 5.388 2.8578 3.2515 3.2412 3.7328 3.1211 3.5862 4.4395 6.342 5.741 4.3301 5.0463 7.0102 5.4239 2.89 4.7288 3.5647 4.0475 4.0693 3.163 5.5809 3.2306 2.5181 3.0087 4.1508 2.9722 3.7498 3.3937 2.7111 7.4898 4.0277 4.8755 control
GSM627216.CEL 2.902 2.4222 13.6864 4.1904 4.2899 4.7304 5.3175 2.7204 3.6625 2.9097 3.5639 3.2289 3.641 4.7321 4.379 5.6446 4.3199 4.8194 6.9429 5.9674 3.2388 5.0093 3.4589 3.8389 4.2941 2.9597 5.0936 2.9038 2.9131 3.2028 4.49 3.0148 4.611 3.4823 2.8599 6.8458 4.0064 4.0872 autism
GSM627212.CEL 2.7893 2.8005 13.7439 4.3421 3.9995 4.6259 5.5172 2.7373 3.4959 3.1545 3.8176 3.5546 3.7447 4.6179 5.6711 5.6585 4.095 4.5379 7.5698 6.1412 3.0917 5.3364 3.4715 3.8661 4.3684 3.0353 4.8222 2.8252 2.6283 3.1553 4.4755 2.9497 4.1223 3.6588 2.6542 7.6296 4.5041 4.4156 autism
GSM627190.CEL 3.0206 2.9451 13.6585 4.0554 4.1974 4.2284 5.4663 2.595 3.399 3.2056 3.8686 3.1324 3.7439 4.4678 5.1005 5.8327 4.8535 5.1671 6.8062 6.3791 3.5977 5.1905 3.7376 3.5824 4.184 3.123 4.9084 2.8808 2.6346 3.3583 4.2512 3.1328 4.456 3.6478 2.9417 6.8498 4.0772 4.4263 autism
GSM627169.CEL 3.0032 2.7731 13.3829 4.2203 4.6043 5.2579 5.6078 2.5128 3.6649 3.5616 3.9484 3.3153 4.0585 4.8605 6.6177 5.4287 4.521 4.9468 7.2564 6.0428 3.4164 5.6368 3.5055 3.7937 4.4792 3.474 5.0177 2.4797 2.7202 3.4025 4.6217 3.3042 4.3377 4.2151 2.9073 7.0339 4.0522 4.3645 autism
GSM627167.CEL 2.9515 2.9557 13.5797 3.8352 4.238 4.2766 5.7834 2.892 3.6572 3.1618 3.8655 3.2068 3.7434 4.7062 5.0787 5.8652 4.2507 4.4946 7.038 6.0642 3.2867 6.3165 3.3661 3.729 4.1747 3.3691 5.1984 2.7755 2.7736 3.0226 4.2392 3.2313 4.2786 3.3715 3.0229 6.9423 3.8866 4.06 autism
GSM627192.CEL 3.4276 2.6753 13.1967 4.0688 3.8641 4.1645 5.2377 3.5935 3.3783 3.2518 4.4653 3.1769 3.7138 4.8797 5.0271 6.1343 4.4256 4.9262 7.6262 6.5657 2.9486 4.7738 3.6815 4.2391 4.4615 3.3436 4.4222 2.8841 2.5318 3.3921 4.9188 3.0727 4.653 3.6472 3.0191 7.0201 3.9852 4.557 autism
GSM627203.CEL 3.2685 2.7245 13.7048 4.4256 3.8954 5.7287 5.4663 2.9965 3.8208 3.482 3.8529 3.279 3.9361 3.5325 5.493 6.1716 4.832 5.1575 7.886 6.1479 4.0513 5.9138 3.7486 3.763 4.2304 3.3966 5.1184 3.0025 2.5659 3.4839 4.5725 3.1441 4.707 3.8015 2.8215 7.9094 4.1465 4.3346 autism
GSM627151.CEL 2.8208 2.6946 13.4811 4.0297 4.2494 4.3638 5.604 2.7507 3.8047 3.2505 3.8119 3.0853 3.9631 4.3244 5.4556 5.7212 4.3826 4.6186 7.1892 5.9031 3.29 5.2055 3.1672 3.542 4.1214 3.2764 5.1997 2.9079 2.6024 3.383 4.4515 3.1325 4.3936 3.3909 2.7311 7.2586 4.1171 4.2999 autism
GSM627163.CEL 2.8578 2.6351 13.5551 4.822 4.5144 4.4711 5.7083 2.9079 3.1782 3.1604 3.7577 3.4701 4.0154 4.9565 4.4978 6.8726 4.3688 5.0457 8.5939 6.0051 3.3218 5.3949 3.6548 3.8389 4.5856 4.2465 4.9888 2.9111 3.0246 3.6188 4.5697 2.7776 4.8397 3.3557 2.7126 6.8563 4.4555 4.449 autism
GSM627211.CEL 2.9433 2.6346 13.5739 4.1747 4.1815 4.1037 5.3283 3.0074 3.7945 3.4084 3.7711 3.5225 4.0298 4.8239 4.5866 5.271 4.1708 4.3049 6.0353 5.9515 3.2039 5.2675 3.3769 3.7781 4.6005 3.1384 5.0548 2.846 2.7463 3.1624 4.3215 3.1756 4.1232 3.4382 2.7463 6.4165 4.7268 4.4766 autism
GSM627171.CEL 2.8217 2.9347 13.7484 3.6644 4.8418 4.0463 5.3662 2.8282 3.1152 3.173 3.6689 3.3134 3.6014 4.3734 4.61 6.2847 4.7606 5.5474 6.7185 5.7878 2.977 5.5193 3.0666 3.6161 4.2821 3.2919 5.8067 2.92 2.8343 2.9805 4.2375 2.8927 4.5017 3.7742 3.0653 6.4512 3.7076 4.4418 autism
GSM627209.CEL 2.593 2.6382 13.6398 3.9457 4.1122 4.0082 5.4226 2.8594 3.4357 3.4055 3.8209 3.2074 3.5849 4.3728 5.2187 6.3162 4.4893 4.5006 7.166 5.9001 3.3411 5.4197 3.1809 3.7222 4.2514 3.0951 5.1068 2.9876 2.4551 3.1431 3.8171 2.909 4.3349 3.7021 2.9276 6.5743 4.3521 4.1555 autism
GSM627135.CEL 3.1091 2.8281 13.2532 4.4382 4.3408 5.3561 5.1926 2.6602 3.624 3.5595 4.2115 2.961 3.7512 4.5475 6.0677 6.3797 4.8301 5.7438 7.0086 5.7882 2.8204 5.2169 3.9363 3.766 4.3804 3.5417 4.8817 3.4589 2.5035 3.9729 4.6278 2.9963 4.824 3.4278 3.0842 7.9315 3.8009 5.5896 autism
GSM627170.CEL 2.821 2.6286 13.7877 4.1042 4.6975 4.3491 5.5943 2.7283 3.5852 3.0958 3.4906 3.2369 3.4684 4.8775 5.6739 6.0242 4.6458 5.2967 6.6486 5.7026 3.1392 5.1308 3.4289 3.4723 4.2347 3.5971 5.2382 2.8457 2.3519 3.4795 4.3681 3.1795 4.3977 3.3565 2.9245 7.3245 4.1933 4.4684 autism
GSM627178.CEL 2.8146 2.7404 13.3553 4.4784 3.9905 4.766 5.7189 2.7277 3.504 3.6405 3.8821 3.2953 3.8905 4.1543 5.6412 6.0596 4.8105 4.9349 8.7392 6.435 3.1047 5.7367 3.3501 3.7927 4.5317 3.3925 4.5587 2.9899 2.3642 3.3698 4.2117 3.4589 4.4663 3.3527 2.6236 7.7889 3.8086 4.1973 autism
GSM627199.CEL 2.8993 2.5484 13.605 3.8446 3.9897 5.0699 5.3298 2.75 3.7823 3.4302 3.8518 3.3165 3.79 4.528 5.688 6.2476 4.5796 4.447 7.8721 6.3816 3.036 5.137 3.6741 3.7674 4.1032 3.5434 4.9479 2.92 2.7316 3.0898 4.1708 3.1553 4.5773 3.5078 3.1083 6.8388 4.2711 4.4052 autism
GSM627213.CEL 2.9921 2.6175 13.6064 4.1232 3.7402 4.2068 5.8422 2.8604 3.4357 3.1076 3.7384 3.0149 3.579 4.4633 6.1595 6.1695 4.7393 4.7034 6.9532 5.8613 3.2619 5.014 3.1604 3.8135 4.2398 3.1058 5.0077 3.0336 2.624 3.433 4.0527 2.8617 4.6205 3.433 2.9121 7.514 4.0421 4.2316 autism
GSM627140.CEL 2.9023 2.7308 13.631 3.9415 4.1243 4.0859 5.4387 3.1707 3.6847 3.0622 3.8885 3.3486 3.6449 4.6941 4.8304 6.1208 5.0944 4.528 6.7612 6.6145 2.9611 5.1848 3.3665 3.9585 4.1624 3.2921 5.0706 2.8902 2.5546 3.12 4.5751 3.5446 4.2993 3.779 3.2701 6.6073 4.3593 4.2941 autism
GSM627149.CEL 3.0149 2.7642 13.3635 4.8457 3.7917 4.7735 5.2581 2.7042 3.6612 3.2122 4.7006 3.3944 3.1617 4.2016 5.4546 6.1861 4.6522 5.0667 7.7097 6.2456 3.2043 6.606 3.6808 3.7085 4.4455 2.9771 5.0404 2.8737 2.6968 3.4558 4.8497 3.188 4.7205 3.5022 2.7527 7.476 4.0403 4.6119 autism
GSM627147.CEL 3.0312 2.6691 13.5392 4.0509 4.2665 4.7358 5.8358 2.9087 3.9343 3.2137 4.155 3.1118 3.8761 5.203 5.4854 5.8036 4.4823 4.4256 6.9957 5.9841 3.3674 5.79 3.2677 3.7755 4.1869 3.7595 5.2405 2.804 2.7977 3.0553 4.4689 3.0013 4.3852 3.3937 2.9185 7.1834 4.3134 4.2444 autism
GSM627195.CEL 2.9624 2.4404 13.6296 4.0847 4.116 4.2267 5.4616 2.8375 3.3888 3.336 3.81 3.2248 3.3544 4.5094 5.4428 5.6005 4.2846 5.075 8.4361 5.6719 3.5076 5.6868 3.4655 3.5951 4.4585 3.1913 4.7277 3.1608 2.5164 3.3413 4.0988 3.1151 4.5579 3.3886 2.7241 7.3646 4.1843 4.0786 autism
GSM627204.CEL 3.0006 2.6598 13.6431 4.235 3.8324 4.0544 5.0615 2.5884 3.7741 3.2527 3.9488 3.3624 3.5653 4.9822 5.3634 5.7508 4.5615 4.1591 7.0125 5.8862 3.0287 5.8293 3.2964 3.7319 4.2263 3.1287 4.911 3.3063 2.5658 3.3716 4.4299 2.9049 4.2242 3.2815 3.0136 6.1806 4.5019 4.1825 autism
GSM627207.CEL 2.9378 2.9368 13.649 3.9417 4.1707 4.1177 5.5688 2.688 3.7577 3.2754 3.9612 3.0255 3.6427 4.4078 4.766 5.7969 5.0583 3.9229 6.7235 6.2405 3.5216 5.8347 3.4023 3.7906 4.355 3.0373 4.9334 2.9809 2.7687 3.1717 4.4803 3.305 4.2972 3.4858 2.7813 6.4676 4.164 4.245 autism
GSM627157.CEL 3.2302 2.6031 13.6296 3.9105 3.7105 3.9869 5.6035 2.5122 3.7633 3.313 3.8658 3.4443 3.9688 4.5907 5.3326 6.5469 4.0404 5.237 7.9468 5.8258 3.4822 6.0629 3.7038 3.9223 4.5567 3.2125 5.2344 2.9307 2.7199 3.3353 4.4866 3.0308 4.586 3.5537 2.8123 6.9719 3.9538 3.9216 autism
GSM627201.CEL 2.9176 2.6484 13.5473 3.8315 4.2865 4.5291 5.3531 2.7422 3.4263 3.3651 3.9391 3.3255 3.7421 4.136 5.5786 5.7556 4.1317 4.5233 7.6673 5.73 2.9801 4.9396 3.2687 3.7546 4.3216 3.4096 5.1236 3.0747 2.7562 3.2926 4.2743 3.0105 4.389 3.1066 2.8431 7.026 4.0695 4.4976 autism
GSM627146.CEL 2.8515 2.6123 13.7646 4.0678 4.0181 4.1919 5.8703 2.7914 3.7212 3.3169 3.6875 3.3968 3.7424 4.9605 5.306 6.1052 4.6183 4.6945 7.9849 5.9533 3.1066 5.7602 3.3722 3.8018 4.2397 3.2922 4.9943 2.9065 2.5707 3.3515 4.1302 3.3895 4.3343 3.2883 2.8586 6.9652 4.1147 4.6286 autism
GSM627156.CEL 2.9989 2.7724 13.5296 4.3169 4.4606 4.7596 5.3251 2.6337 3.8594 3.2581 3.9919 3.5238 3.6242 4.8425 5.8639 5.4438 4.737 4.6818 6.7515 6.1746 4.1892 5.9494 3.4454 3.9864 4.1543 3.2865 5.0646 3.1353 2.7391 3.5374 4.2177 3.0222 4.2776 3.6914 2.9775 6.748 4.2846 4.7344 autism
GSM627188.CEL 3.4525 3.2299 13.3784 4.3074 4.1431 4.1752 5.9501 3.4189 3.3632 3.6905 4.2835 3.5838 4.6177 4.4647 5.2283 5.788 3.9948 5.044 6.8177 6.0653 3.2102 4.8032 3.3074 3.9762 4.675 3.4657 4.8442 2.7395 3.0662 3.2962 4.7422 3.2789 4.8103 3.8208 3.0612 7.3761 3.4636 4.3093 autism
GSM627197.CEL 2.767 2.8581 13.5922 3.732 4.2695 4.3325 5.4269 2.8398 3.5269 3.0025 3.9031 3.3434 3.6149 4.8591 5.6049 6.1985 4.4254 4.8609 8.046 5.9019 3.0772 5.6097 3.5592 3.5554 4.2843 3.1827 5.3521 2.9077 2.62 3.3644 4.3385 3.0864 4.2637 3.4056 2.9698 7.083 3.9874 4.4376 autism
GSM627173.CEL 2.902 2.7494 13.676 3.9989 4.0811 4.9024 5.5604 2.488 3.8947 3.0912 3.9317 3.2447 4.001 4.9323 5.6006 5.669 4.9122 4.4066 7.6756 6.3088 3.2121 5.5546 3.2273 3.7755 4.424 3.3664 4.9028 2.8286 2.7606 3.4169 4.2912 3.1083 4.5213 3.5327 2.8695 6.6495 4.4498 4.3602 autism
GSM627179.CEL 2.961 2.6256 13.7323 3.9949 4.226 4.383 5.4208 2.5373 3.4573 3.2436 3.7846 3.4733 3.4679 4.6217 4.8974 5.5031 4.2915 4.9337 6.6142 5.8915 3.4631 5.5282 3.326 3.8293 4.3881 3.0469 4.9972 2.8554 2.7292 3.3578 4.3785 3.1337 4.3922 3.3727 2.8059 6.8863 4.0434 4.313 autism
GSM627208.CEL 2.9813 2.6017 13.6067 4.0159 4.1999 4.4578 5.6516 2.6507 3.5209 3.1251 3.6581 3.2602 3.7522 4.7683 5.6763 5.861 4.5091 4.3176 6.3151 6.038 3.5234 5.567 3.3333 4.0995 4.3754 3.0069 4.9126 2.6982 2.7741 3.5024 4.2449 2.9716 4.4467 3.304 2.8819 7.1592 4.1534 4.289 autism
GSM627215.CEL 2.841 2.4724 13.7353 4.2619 3.9115 4.2344 5.6206 2.7014 3.1022 3.2929 3.5259 3.1302 3.6204 5.0025 5.6781 5.8411 4.0884 4.7128 7.113 5.8061 3.0507 5.294 3.3504 3.7824 4.221 3.0744 4.9795 2.8335 2.606 3.1531 4.5159 2.9303 4.3641 3.5973 2.7549 7.2233 4.2854 3.9994 autism
GSM627153.CEL 2.9186 2.8628 13.6613 4.0259 3.9499 4.1488 5.5016 2.7233 3.2846 3.11 3.7926 2.9864 3.6487 4.4642 5.3148 6.1345 4.5899 4.4136 6.9926 5.8181 3.1058 5.0227 3.399 4.1219 4.2785 3.0311 5.2005 3.1707 2.5954 3.3134 4.472 2.913 4.5874 3.4654 2.7 6.6575 4.0836 4.258 autism
GSM627155.CEL 3.2541 2.8671 13.1234 4.3028 3.7599 4.3567 5.9816 2.8418 3.4672 3.1403 3.796 3.2711 3.7347 5.3456 4.5347 6.5463 4.199 4.2708 7.0713 6.0012 3.1827 5.8288 3.3074 5.0439 5.3288 3.2693 5.2046 2.3325 2.7631 3.8184 4.3945 3.1227 4.3586 3.5889 2.6231 7.072 4.4749 4.3196 autism
GSM627165.CEL 2.9553 2.2988 13.5875 3.663 4.2737 4.669 5.3479 3.2442 3.8108 3.2669 3.7782 3.4017 3.4045 4.4399 5.713 5.5845 3.867 5.5614 7.2717 5.9081 3.9103 5.0727 3.7872 3.7118 4.5315 3.5806 4.6046 2.7635 2.4272 3.4247 4.1694 3.1357 4.5693 3.6576 2.7217 6.8645 4.4189 4.356 autism
GSM627168.CEL 3.0584 2.7439 13.6578 3.9227 4.0365 4.3825 5.6766 2.7342 3.0353 3.1697 3.9915 3.1328 3.2642 4.551 5.7409 6.0588 4.2977 5.4447 8.1285 5.9357 3.2692 5.6097 2.9862 3.4779 4.3672 3.0153 4.7504 2.5952 2.4297 3.2077 4.0414 3.1414 4.1729 3.2259 3.0585 7.0098 3.9803 4.3588 autism
GSM627183.CEL 2.9281 2.5464 13.4739 3.7729 3.9235 4.4634 5.0701 3.1988 3.1331 3.3597 3.8848 3.3325 3.6673 4.642 6.6003 6.0992 4.0716 5.6123 8.3941 5.7814 3.2054 4.8785 3.4718 3.8101 4.5029 3.1084 5.3018 2.8817 2.6369 3.3336 3.984 2.8381 4.4719 3.2237 2.7246 7.4738 4.0332 4.1773 autism
GSM627144.CEL 2.9127 2.5063 13.5516 4.4644 4.1484 4.92 5.5078 2.8331 3.5404 3.2646 4.1205 3.1732 3.6523 4.7642 7.0832 5.4278 4.158 4.5311 7.4555 5.7749 3.2632 5.4973 3.4824 3.6094 4.1627 3.4038 4.7152 3.5066 2.5976 3.1855 4.4662 2.9646 4.5582 3.6828 2.9456 7.2567 4.0914 5.7138 autism
GSM627158.CEL 3.7879 2.8782 13.2307 4.2205 4.2889 4.2596 4.8834 2.9211 3.1262 3.1929 4.1438 3.3424 3.926 4.4168 4.9108 6.6532 5.0263 5.0626 7.3546 5.9877 2.9401 5.9524 3.048 4.4211 4.233 3.1316 4.9872 3.0886 2.4597 3.483 4.6885 3.1641 4.7863 3.7382 2.6968 7.2129 3.8355 4.3337 autism
GSM627196.CEL 2.9013 2.6334 13.6655 4.3441 4.5522 4.0545 5.4227 2.4879 3.7907 3.1825 3.6516 3.1954 3.5517 4.0653 5.2964 5.6383 4.6385 4.3472 7.1474 5.9874 3.016 5.3399 3.4868 3.7924 4.2789 3.1423 5.022 3.1492 2.6379 3.1932 4.163 3.1017 4.3433 2.8622 2.5806 6.4926 4.0068 4.3522 autism
GSM627142.CEL 2.9078 2.9161 13.5296 4.0645 4.0722 4.8118 5.4374 2.7901 3.2776 3.298 4.0713 3.1626 3.62 4.4944 5.5713 6.2092 3.5855 5.2036 7.3943 5.6568 2.8627 5.6176 3.2447 3.7489 4.0584 3.0204 5.168 2.9444 2.8386 2.9628 4.7154 2.8235 3.6878 3.2127 2.7813 7.5326 3.7816 4.6244 autism
GSM627182.CEL 3.199 2.6572 13.7144 4.1753 4.4457 4.2738 4.9362 2.5681 3.5627 3.178 3.8081 3.1455 3.6332 4.6019 5.5115 5.8008 4.3332 4.7082 6.8461 5.6539 3.1114 5.456 3.3199 3.379 4.3442 3.4794 4.9777 3.0163 2.7119 3.3297 4.1389 2.9911 4.3064 3.3483 2.7219 6.9888 4.2033 4.3099 autism
GSM627202.CEL 2.9011 2.735 13.4265 4.042 4.0489 4.2703 5.3912 2.6884 3.3677 3.4038 3.7635 3.0093 3.7842 4.6384 4.8578 6.4202 4.1842 5.0218 7.5218 5.8363 2.9778 5.6873 3.9 3.8459 4.3736 3.0711 4.8665 2.9722 2.8034 3.2898 4.5635 3.0284 4.4767 3.7275 2.8287 7.549 4.3219 4.4385 autism
GSM627141.CEL 2.9047 2.6086 13.3123 3.6017 4.2737 4.0356 4.8364 2.6326 3.3276 3.2378 3.9542 2.9443 3.6165 4.716 5.9527 5.7517 4.6168 5.6845 6.8349 5.4762 3.5233 4.5309 3.6663 3.7124 4.54 3.1082 5.1155 2.9321 2.4989 2.8294 4.6788 3.1302 4.6512 2.9473 2.7719 7.382 4.1858 4.0941 autism
GSM627143.CEL 3.2788 2.6722 13.4954 3.9426 4.0992 4.4137 4.6255 2.7761 3.7826 3.1354 3.9005 3.2642 3.6623 4.7381 5.8931 5.7396 4.2877 5.2701 6.9224 5.8478 2.6892 5.3402 3.4093 3.6607 4.6411 2.9585 5.5395 2.864 2.4659 3.1379 4.3137 2.9531 3.9768 3.3225 2.6393 6.9864 3.994 4.4391 autism
GSM627145.CEL 2.8443 2.5894 13.451 4.3985 4.5399 4.1163 5.127 2.6789 3.7371 3.2014 3.8631 3.1641 3.4849 4.2306 6.3413 6.0353 4.2489 5.2055 7.6132 5.5211 2.9197 4.7408 3.5075 3.5297 4.1715 3.4164 4.9967 3.0114 2.5757 3.3381 4.0631 2.6915 3.9932 3.6106 2.513 7.6053 4.173 4.3132 autism
GSM627152.CEL 2.9663 2.7192 13.6216 4.1956 4.0744 5.6606 5.4074 2.9327 3.3642 3.1912 4.1516 3.3498 3.6013 4.8216 5.3521 6.1228 4.4942 5.3606 7.7343 6.1588 3.1343 5.0211 3.6669 3.7083 4.1872 3.7176 4.7678 3.1174 2.8138 3.1139 4.1505 3.327 4.4427 3.5679 2.7772 7.5479 4.1168 4.3691 autism
GSM627200.CEL 3.3226 2.7072 13.3913 4.0272 3.8685 4.3047 5.486 3.1441 3.6839 3.1816 4.2257 3.1931 3.5508 4.3293 4.4907 6.1152 4.8057 4.9944 7.5834 5.9107 3.2506 4.8858 3.3597 3.873 4.3683 3.9162 4.99 3.338 2.6145 3.1693 4.5364 2.9897 4.4652 3.2983 2.9367 7.605 4.1539 4.5652 autism
GSM627159.CEL 2.9135 2.6123 13.27 3.7538 3.9578 4.2525 5.7635 3.3404 3.3862 3.2014 3.772 3.4567 3.7099 4.1749 5.0976 6.1237 4.4163 4.2922 7.4078 6.0173 3.1116 5.4839 3.4955 3.4652 4.7068 3.8407 5.0859 3.0049 2.6412 2.8188 4.5743 2.9196 4.2926 3.3762 2.8188 7.2549 4.3788 3.9096 autism
GSM627164.CEL 2.95 2.5862 13.7003 4.0166 4.2142 5.219 5.5093 2.8557 3.6818 3.3108 3.98 3.4093 3.6981 4.5378 5.1633 5.5094 4.1787 4.6483 6.6075 6.1719 3.5235 5.4649 3.425 3.5858 4.4738 3.0885 5.1073 2.6259 2.9184 3.1164 4.4423 2.8535 4.401 3.3512 2.928 6.8418 3.9154 4.3621 autism
GSM627138.CEL 3.0188 2.6296 13.2837 4.0794 4.244 4.144 5.5587 2.8588 3.4959 2.8464 3.897 2.8862 3.8235 4.1279 5.1941 6.1822 3.956 5.4453 6.9871 5.8198 3.3638 5.7611 3.465 4.0411 4.6732 3.4465 4.9872 2.8736 2.5397 3.0136 4.193 3.4123 4.2361 3.646 3.1759 7.1386 3.942 4.306 autism
GSM627175.CEL 2.9353 2.4735 13.5661 3.8795 4.2225 4.0676 5.3516 3.3516 3.5471 3.2543 3.9358 3.1966 3.5757 4.4238 5.7158 5.7848 4.2394 4.9487 7.0782 5.6037 3.441 5.2049 3.7684 3.8124 4.0068 3.3498 5.1092 3.109 2.5616 3.1685 4.3531 3.2037 4.5224 3.3599 2.7147 7.0285 4.0529 4.6518 autism
GSM627150.CEL 3.0436 2.6394 13.5202 3.8703 4.3662 4.2475 5.0432 2.5388 3.4096 3.3188 3.7765 3.0335 3.2849 4.3658 5.5069 6.1191 4.4603 4.5289 7.3755 5.8057 3.1869 5.2072 3.524 3.8299 4.3689 3.3978 4.7272 3.1875 2.8384 3.2572 4.2342 2.941 4.2907 3.5236 2.8487 7.2744 3.9554 4.0824 autism
GSM627166.CEL 3.2656 2.7507 13.6195 4.368 4.1401 4.5872 5.2801 2.5216 3.7446 3.3959 3.9935 3.5429 3.4806 4.3606 4.5966 5.7907 4.388 4.3424 8.2456 5.9764 3.1635 5.1183 3.516 3.5591 4.6309 2.9958 5.1013 3.3058 2.7344 3.4044 4.523 2.7275 4.442 3.533 3.002 7.4564 4.4967 4.7206 autism
GSM627186.CEL 2.9603 2.7059 13.6526 3.978 4.2772 4.6325 5.6033 2.7036 3.8966 3.2185 3.8877 3.237 3.6343 4.907 5.609 5.5071 4.3561 4.7945 6.787 6.2263 3.4387 5.3848 3.3977 3.99 4.2829 3.389 5.3443 3.0772 2.9675 2.9546 4.5514 2.8152 4.6512 3.8363 2.7223 6.4749 4.298 4.3867 autism
